Species,Protected,Endemic,Migratory
Casuarius casuarius,Y,,
Casuarius unappendiculatus,Y,,
Cataponera turdoides,,Y,
Catharacta maccormicki,Y,,
Catopuma badia,Y,,
Catopuma temminckii,Y,,
Cecropis daurica,,,Y
Celebesica abbotti,,Y,
Centropus celebensis,,Y,
Centropus chalybeus,,Y,
Centropus goliath,,Y,
Centropus nigrorufus,Y,Y,
Centropus rectunguis,Y,,
Centropus spilopterus,,Y,
Ceratolobus glaucescens,Y,,
Cethosia myrina,Y,,
Ceyx cajeli,,Y,
Ceyx erithaca,,,Y
Ceyx fallax,,Y,
Ceyx lepidus,,Y,
Ceyx sangirensis,Y,Y,
Ceyx wallacii,,Y,
Chalcites basalis,,,Y
Chalcites crassirostris,,,Y
Chalcites lucidus,,,Y
Chalcites minutillus,,,Y
Chalcopsitta atra,Y,Y,
Chalcopsitta duivenbodei,Y,,
Chalcopsitta scintillata,Y,,
Charadrius alexandrinus,Y,,Y
Charadrius dealbatus,,,Y
Charadrius dubius,,,Y
Charadrius javanicus,Y,,
Charadrius leschenaultii,,,Y
Charadrius mongolus,,,Y
Charadrius placidus,Y,,
Charadrius ruficapillus,Y,,
Charadrius veredus,Y,,Y
Charmosyna josefinae,Y,,
Charmosyna multistriata,Y,,
Charmosyna papou,Y,Y,
Charmosyna placentis,Y,,
Charmosyna pulchella,Y,,
Charmosyna rubronotata,Y,,
Charmosyna stellae,Y,,
Charmosyna toxopei,Y,Y,
Charmosyna wilhelminae,Y,,
Charonia tritonis,Y,,
Chelodina mccordii,Y,,
Chelodina novaeguineae,Y,,
Chelonia mydas,Y,,
Chitala borneensis,Y,,
Chitala hypselonotus,Y,,
Chitala lopis,Y,,
Chitra chitra,Y,,
Chlamydera cerviniventris,Y,,
Chlamydera lauterbachi,Y,,
Chlamydosaurus kingii,Y,,
Chlidonias hybrida,Y,,Y
Chlidonias leucopterus,Y,,Y
Chloropsis cochinchinensis,Y,Y,
Chloropsis cyanopogon,Y,,
Chloropsis kinabaluensis,Y,,
Chloropsis media,Y,Y,
Chloropsis moluccensis,Y,,
Chloropsis sonnerati,Y,,
Chloropsis venusta,Y,Y,
Chrysococcyx maculatus,,,Y
Chrysococcyx xanthorhynchus,,,Y
Chrysocolaptes strictus,,Y,
Chrysocorythus estherae,Y,Y,
Chrysophlegma mentale,,Y,
Cicinnurus magnificus,Y,,
Cicinnurus regius,Y,,
Cicinnurus respublica,Y,Y,
Ciconia episcopus,Y,,
Ciconia stormi,Y,,Y
Cinnyris buettikoferi,Y,Y,
