,Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
1,Accipiter badius,NA,Y,NA,NA,NA,NA
2,Accipiter cirrocephalus,NA,Y,NA,NA,NA,NA
3,Accipiter erythrauchen,NA,Y,Y,NA,MALUKU,"Accipiter erythrauchen is found on the islands of Morotai, Halmahera, Bacan, Obi, Buru, Ambon and Seram, Indonesia (Ferguson-Lees and Christie 2001)."
4,Accipiter fasciatus,NA,Y,NA,NA,NA,NA
5,Accipiter griseiceps,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22695465/93510962
6,Accipiter gularis,NA,Y,NA,Y,NA,NA
7,Accipiter henicogrammus,NA,Y,Y,NA,MALUKU UTARA,https://www.iucnredlist.org/species/22695544/176242444
8,Accipiter hiogaster,NA,Y,NA,NA,NA,NA
9,Accipiter melanochlamys,NA,Y,NA,NA,NA,NA
10,Accipiter meyerianus,NA,Y,NA,NA,NA,NA
11,Accipiter nanus,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22695591/207761327
12,Accipiter nisus,NA,Y,NA,NA,NA,NA
13,Accipiter poliocephalus,NA,Y,NA,NA,NA,NA
14,Accipiter rhodogaster,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22695610/93519156
15,Accipiter soloensis,NA,Y,NA,Y,NA,NA
16,Accipiter sylvestris,NA,Y,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22727727/94958582
17,Accipiter trinotatus,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22695516/93513461
18,Accipiter trivirgatus,NA,Y,NA,NA,NA,NA
19,Accipiter virgatus,NA,Y,NA,NA,NA,NA
20,Acerodon humilis,NA,Y,NA,NA,NA,"This species is known only from the islands of Salebabu (95 km²) and Karekaleng (976 km²) in the Talaud group, in Indonesia. It was described in 1909 from three specimens and no further specimens had been recorded until Riley (2002) found the bat alive on the Talaud Islands. The type locality for this species is Lirong, Talaud Islands, Indonesia."
21,Acridotheres cinereus,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22710940/176451306
22,Acridotheres javanicus,NA,NA,Y,NA,"JAWA, BALI",https://www.iucnredlist.org/species/103871334/176499647
23,Acridotheres melanopterus,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22710909/201845082
24,Acridotheres tertius,Acridotheres melanopterus,Y,NA,NA,NA,NA
25,Acridotheres tricolor,Acridotheres melanopterus,Y,NA,NA,NA,NA
26,Acridotheres melanopterus,NA,Y,NA,NA,NA,NA
27,Acrocephalus australis,NA,NA,NA,Y,NA,NA
28,Acrocephalus bistrigiceps,NA,NA,NA,Y,NA,NA
29,Acrocephalus orientalis,NA,NA,NA,Y,NA,NA
30,Actenoides capucinus,NA,Y,Y,NA,SULAWESI (TENGGARA & SELATAN),"Actenoides capucinus is restricted to east, south-east and south Sulawesi, Indonesia (BirdLife International 2001). It is generally considered to be uncommon, although it is highly inconspicuous."
31,Actenoides concretus,NA,Y,NA,NA,NA,NA
32,Actenoides monachus,NA,Y,Y,NA,SULAWESI (TENGAH & BARAT),"Actenoides monachus is restricted to north and central Sulawesi including the islands of Manadotua and Lembeh, Indonesia (BirdLife International 2001). It is generally considered to be uncommon, although it is highly inconspicuous. It is reported to be locally common in parts of Lore Lindu National Park, Dumoga-Bone National Park and Tangkoko DuaSudara Nature Reserve."
33,Actenoides princeps,NA,Y,Y,NA,SULAWESI (BARAT & TENGAH),https://www.iucnredlist.org/species/22726858/217814614
34,Actenoides regalis,NA,NA,Y,NA,SULAWESI (TENGGARA),https://www.iucnredlist.org/species/22727941/94966220
35,Actitis hypoleucos,NA,NA,NA,Y,NA,NA
36,Aegotheles crinifrons,NA,NA,Y,NA,MALUKU UTARA,https://www.iucnredlist.org/species/22689546/130166032
37,Aepypodius arfakianus,NA,Y,NA,NA,NA,NA
38,Aepypodius bruijnii,NA,Y,Y,NA,PAPUA BARAT,https://www.iucnredlist.org/species/22678559/188436669
39,Aerodramus infuscatus,NA,NA,Y,NA,SULAWESI & MALUKU,https://www.iucnredlist.org/species/22686522/130108054
40,Aerodramus vulcanorum,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22686543/110969594
41,Aethopyga duyvenbodei,NA,Y,Y,NA,SULAWESI (KEPULAUAN SANGIHE),"Aethopyga duyvenbodei is currently known from Sangihe, north of Sulawesi, Indonesia, although there is an historical record from nearby Siau (BirdLife International 2001). In 1995, it was found to be regular at low densities at seven localities and in 1998-1999 it was the most commonly encountered forest species at Gunung Sahendaruman, suggesting locally high population densities. It was also found to occur at low densities in secondary habitats well isolated from primary forest, suggesting resilience to habitat loss (Riley 2002). It is, however, absent from large areas of the island, and continuing loss of both primary and secondary forest habitat suggests that populations continue to decline."
42,Aethopyga eximia,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/22718084/94565956
43,Aethopyga mystacalis,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/103804351/94566823
44,Aethopyga siparaja,NA,Y,NA,NA,NA,NA
45,Aetoxylon sympetalum,NA,Y,NA,NA,NA,NA
46,Agathis labillardierei,NA,Y,NA,NA,NA,NA
47,Agropsar philippensis,NA,NA,NA,Y,NA,NA
48,Agropsar sturninus,NA,NA,NA,Y,NA,NA
49,Ailuroedus buccoides,NA,Y,NA,NA,NA,NA
50,Ailuroedus melanotis,NA,Y,NA,NA,NA,NA
51,Ailurops melanotis,NA,Y,NA,NA,NA,"This species is endemic to Indonesia, where it has been reported from Sangihe (the largest island in the Sangihe Island group) and Salibabu (within the Talaud Islands). However, although a bear cuscus has been seen and photographed on Sangihe, no specimen from here is known to exist. It has been assumed that this bear cuscus is <em>Ailurops melanotis</em>, but this requires confirmation as the Sangihe Island group is separate from the Talaud Islands and lies closer to Sulawesi, where the more widespread <em>A. ursinus</em> exists."
52,Alcedo atthis,NA,NA,NA,Y,NA,NA
53,Alcedo coerulescens,NA,NA,Y,NA,JAWA & SUMATERA,https://www.iucnredlist.org/species/22683117/92976544
54,Alcedo euryzona,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22726971/125574893
55,Alcedo peninsulae,NA,Y,NA,NA,NA,NA
56,Alcippe pyrrhoptera,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/22716636/111108515
57,Alisterus amboinensis,NA,Y,Y,NA,MALUKU & PAPUA,https://www.iucnredlist.org/species/22685051/93056866
58,Alisterus chloropterus,NA,Y,NA,NA,NA,NA
59,Alophoixus bres,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/103821243/182418500
60,Amaurornis isabellina,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22692624/131929256
61,Amaurornis magnirostris,NA,Y,Y,NA,SULAWESI (PULAU KARAKELONG),https://www.iucnredlist.org/species/22732147/95043197
62,Amaurornis phoenicurus,NA,NA,NA,Y,NA,NA
63,Amblyornis flavifrons,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22703657/93931517
64,Amblyornis inornata,NA,Y,Y,NA,PAPUA,https://www.iucnredlist.org/species/22703644/130219341
65,Amblyornis macgregoriae,NA,Y,NA,NA,NA,NA
66,Amorphophallus decus-silvae,NA,Y,NA,NA,NA,NA
67,Amorphophallus titanum,NA,Y,NA,NA,NA,NA
68,Anaphalis javanica,NA,Y,NA,NA,NA,NA
69,Anas acuta,NA,NA,NA,Y,NA,NA
70,Anhinga melanogaster,NA,Y,NA,NA,NA,NA
71,Anorrhinus galeritus,NA,Y,NA,NA,NA,NA
72,Anous minutus,NA,Y,NA,NA,NA,NA
73,Anous stolidus,NA,Y,NA,NA,NA,NA
74,Anoxypristis cuspidata,NA,Y,NA,NA,NA,NA
75,Anseranas semipalmata,NA,Y,NA,NA,NA,NA
76,Anthracoceros albirostris,NA,Y,NA,NA,NA,NA
77,Anthracoceros malayanus,NA,Y,NA,NA,NA,NA
78,Anthreptes rhodolaemus,NA,Y,NA,NA,NA,NA
79,Anthus cervinus,NA,NA,NA,Y,NA,NA
80,Anthus gustavi,NA,NA,NA,Y,NA,NA
81,Antigone rubicunda,Grus rubicunda,Y,NA,NA,NA,NA
82,Grus rubicunda,NA,Y,NA,NA,NA,NA
83,Anurophasis monorthonyx,NA,NA,Y,NA,PAPUA,https://www.iucnredlist.org/species/22678993/92797522
84,Apalharpactes mackloti,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22730186/95025459
85,Apalharpactes reinwardtii,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22682824/178034431
