,Species,Species_Syn,Protected,Endemic,Migratory,End_Islands,Notes
479,Geokichla erythronota,NA,NA,Y,NA,SULAWESI,"Zoothera erythronota is restricted to Sulawesi and neighbouring Buton (race erythronota) and Kabaena (race kabaena), Indonesia (Robinson-Dean et al. 2002, Collar 2004). It is uncommon but easily overlooked on Buton, locally common on Kabaena (Robinson-Dean et al. 2002) and generally uncommon on Sulawesi (although population estimates are often dramatically increased once mist-netting is undertaken). Although there is not enough information to accurately assess its population size, since it appears to be somewhat patchily distributed throughout its range - often absent from apparently suitable habitat - it may prove to be quite low."
480,Geokichla joiceyi,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22733672/152179448
481,Geokichla leucolaema,NA,NA,Y,NA,SUMATERA (PULAU ENGGANO),https://www.iucnredlist.org/species/22732956/177519102
482,Geokichla mendeni,NA,NA,Y,NA,MALUKU,"This species is known from Peleng, in the Banggai Islands, and Taliabu, in the Sula Islands, Indonesia (Collar 2004). It has been described as """"extremely scarce"""" on Taliabu (Clement and Hathway 2000)."
483,Geokichla sibirica,NA,NA,NA,Y,NA,NA
484,Gerygone dorsalis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22704711/130385914
485,Glareola maldivarum,NA,Y,NA,Y,NA,NA
486,Glaucidium castanopterum,NA,NA,Y,NA,JAWA & BALI,https://www.iucnredlist.org/species/22689280/93225162
487,Globicephala macrorhynchus,NA,Y,NA,NA,NA,NA
488,Gorsachius goisagi,NA,Y,NA,NA,NA,NA
489,Gorsachius melanolophus,NA,Y,NA,Y,NA,NA
490,Goura cristata,NA,Y,Y,NA,PAPUA,"Goura cristata occurs in the West Papuan Islands (Misool, Waigeo, Salawati, Batanta), the Vogelkop and western Papua (formerly Irian Jaya), west of Geelvink and Etna Bays, Indonesia (King and Nijboer 1994), and also on Seram, South Maluku (Kitchener et al. 1993, Macdonald 1995), where it was almost certainly introduced (Coates and Bishop 1997). It was historically common (Rand and Gilliard 1967), and remains locally fairly common at several sites on mainland Papua (Erftemeijer. 1991, Gibbs 1993, Poulsen and Frolander 1994), Salawati (Gibbs 1993, Poulsen and Frolander 1994, Eastwood 1996b) and Seram Macdonald 1995, Coates and Bishop 1997), but may be extinct on Batanta (D. Gibbs in litt. 1994), and has been extirpated from many sites on Papua (King and Nijboer 1994)."
491,Goura sclaterii,NA,Y,NA,NA,NA,NA
492,Goura victoria,NA,Y,NA,NA,NA,NA
493,Gracula religiosa,NA,Y,NA,NA,NA,NA
494,Gracula robusta,NA,Y,Y,NA,NA,https://www.iucnredlist.org/species/103878817/182272272
495,Gracula venerata,NA,Y,NA,NA,NA,NA
496,Gracupica jalla,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/103890801/118590020
497,Grallina cyanoleuca,NA,NA,NA,Y,NA,NA
498,Grampus griseus,NA,Y,NA,NA,NA,NA
499,Gygis alba,NA,Y,NA,NA,NA,NA
500,Gymnocrex rosenbergii,NA,Y,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22692604/110481172
501,Gymnocrex talaudensis,NA,Y,Y,NA,SULAWESI (PULAU KARAKELONG),https://www.iucnredlist.org/species/22728616/110159856
502,Gymnophaps mada,NA,NA,Y,NA,MALUKU (PULAU DAMAR),https://www.iucnredlist.org/species/45448755/95156047
503,Gymnophaps stalkeri,NA,NA,Y,NA,NA,NA
504,Gyps himalayensis,NA,Y,NA,NA,NA,NA
505,Gypsophila rufipecta,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22716040/94479656
506,Habroptila wallacii,NA,Y,Y,NA,MALUKU,https://www.iucnredlist.org/species/22692781/93369321
507,Haematopus fuliginosus,NA,Y,NA,NA,NA,NA
508,Haematopus longirostris,NA,Y,NA,NA,NA,NA
509,Halcyon coromanda,NA,NA,NA,Y,NA,NA
510,Halcyon cyanoventris,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/22683252/92980601
511,Haliaeetus leucogaster,NA,Y,NA,NA,NA,NA
512,Haliastur indus,NA,Y,NA,NA,NA,NA
513,Haliastur sphenurus,NA,Y,NA,Y,NA,NA
514,Harpactes diardii,NA,Y,NA,NA,NA,NA
515,Harpactes duvaucelli,NA,Y,NA,NA,NA,NA
516,Harpactes erythrocephalus,NA,Y,NA,NA,NA,NA
517,Harpactes kasumba,NA,Y,NA,NA,NA,NA
518,Harpactes oreskios,NA,Y,NA,NA,NA,NA
519,Harpactes orrhophaeus,NA,Y,NA,NA,NA,NA
520,Harpactes whiteheadi,NA,Y,NA,NA,NA,NA
521,Harpyopsis novaeguineae,NA,Y,NA,NA,NA,NA
522,Heinrichia calligyna,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/103866279/111174691
523,Heinrichia simplex,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/103866352/104210718
524,Helarctos malayanus,NA,Y,NA,NA,NA,NA
525,Heleia javanica,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22714295/131969784
526,Heleia pinaiae,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/22714311/94411142
527,Heleia squamiceps,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/22714299/94410662
528,Heleia superciliaris,NA,NA,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22714307/131969951
529,Heleia wallacei,NA,Y,Y,NA,NUSA TENGGARA,https://www.iucnredlist.org/species/22714115/94402339
530,Heliopais personatus,NA,Y,NA,NA,NA,NA
531,Helopsaltes certhiola,NA,NA,NA,Y,NA,NA
532,Helopsaltes fasciolata,NA,NA,NA,Y,NA,NA
533,Helopsaltes ochotensis,NA,NA,NA,Y,NA,NA
534,Hemicircus concretus,NA,NA,Y,NA,JAWA,https://www.iucnredlist.org/species/22727212/94943807
535,Hemixos leucogrammicus,NA,NA,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22712610/94338607
536,Henicopernis longicauda,NA,Y,NA,NA,NA,NA
537,Heritiera globosa,NA,Y,NA,NA,NA,NA
538,Heteromyias albispecularis,NA,NA,Y,NA,PAPUA,https://www.iucnredlist.org/species/103753407/95059692
539,Heteroscenes pallidus,NA,NA,NA,Y,NA,NA
540,Hieraaetus pennatus,NA,Y,NA,NA,NA,NA
541,Hieraaetus weiskei,NA,Y,NA,NA,NA,NA
542,Hierococcyx hyperythrus,NA,NA,NA,Y,NA,NA
543,Hierococcyx nisicolor,NA,NA,NA,Y,NA,NA
544,Hierococcyx sparverioides,NA,NA,NA,Y,NA,NA
545,Hierococcyx vagans,NA,NA,NA,Y,NA,NA
546,Himantopus himantopus,NA,Y,NA,Y,NA,NA
547,Himantura oxyrhyncha,NA,Y,NA,NA,NA,NA
548,Himantura polylepis,NA,Y,NA,NA,NA,NA
549,Himantura signifer,NA,Y,NA,NA,NA,NA
550,Hippopus hippopus,NA,Y,NA,NA,NA,NA
551,Hippopus porcellanus,NA,Y,NA,NA,NA,NA
552,Hirundapus caudacutus,NA,NA,NA,Y,NA,NA
553,Hirundapus cochinchinensis,NA,NA,NA,Y,NA,NA
554,Hirundo rustica,NA,NA,NA,Y,NA,NA
555,Homaloptera gymnogaster,NA,Y,NA,NA,NA,NA
556,Horornis carolinae,NA,NA,Y,NA,MALUKU (PULAU JAMDENA),"The species is restricted to the Banda Sea Islands Endemic Bird Area, Indonesia, where it is found only on Yamenda in the Tanimbar Islands. It is common in suitable habitats."
557,Hydrobates matsudairae,NA,Y,NA,Y,NA,NA
558,Hydrobates monorhis,NA,Y,NA,Y,NA,NA
559,Hydrochous gigas,NA,Y,NA,NA,NA,NA
560,Hydrophasianus chirurgus,NA,NA,NA,Y,NA,NA
561,Hydroprogne caspia,NA,Y,NA,Y,NA,NA
562,Hydrornis baudii,NA,Y,NA,NA,NA,NA
563,Hydrornis caeruleus,NA,Y,NA,NA,NA,NA
564,Hydrornis guajanus,NA,Y,Y,NA,JAWA,https://www.iucnredlist.org/species/22736518/95136596
565,Hydrornis irena,NA,Y,NA,NA,NA,NA
566,Hydrornis schneideri,NA,Y,Y,NA,SUMATERA,https://www.iucnredlist.org/species/22698611/93692255
567,Hydrornis schwaneri,NA,Y,NA,NA,NA,NA
568,Hylobates agilis,NA,Y,NA,NA,NA,NA
569,Hylobates albibarbis,NA,Y,NA,NA,NA,NA
570,Hylobates klosii,NA,Y,NA,NA,NA,NA
571,Hylobates lar,NA,Y,NA,NA,NA,NA
572,Hylobates moloch,NA,Y,Y,NA,JAWA,NA
573,Hylobates muelleri,NA,Y,NA,NA,NA,NA
574,Hylocitrea bonensis,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/103867190/94017773
575,Hylocitrea bonthaina,NA,NA,Y,NA,SULAWESI,https://www.iucnredlist.org/species/103867212/104222461
576,Hypotaenidia philippensis,NA,NA,NA,Y,NA,NA
577,Hypothymis azurea,NA,NA,NA,Y,NA,NA
578,Hypothymis puella,NA,NA,Y,Y,SULAWESI,https://www.iucnredlist.org/species/103715774/112354842
579,Hypsipetes affinis,NA,NA,Y,NA,MALUKU,https://www.iucnredlist.org/species/103838632/94361899
